,Distance_startpoint_Yamuna,depth_MSL
0,0.0,232
1,106.16794766528076,233
2,212.33589533056153,234
3,318.5038429958423,234
4,424.67179066112305,235
5,530.8397383264038,234
6,637.0076859916846,234
7,743.1756336569654,235
8,849.3435813222461,235
9,955.5115289875268,236
10,1061.6794766528076,237
11,1167.8474243180883,238
12,1274.0153719833693,239
13,1380.18331964865,238
14,1486.3512673139307,238
15,1592.5192149792115,238
16,1698.6871626444922,238
17,1804.855110309773,241
18,1911.0230579750537,241
19,2017.1910056403344,240
20,2123.358953305615,240
21,2229.526900970896,240
22,2335.6948486361766,241
23,2441.8627963014574,241
24,2548.0307439667386,241
25,2654.1986916320193,243
26,2760.3666392973,244
27,2866.5345869625808,244
28,2972.7025346278615,244
29,3078.8704822931422,243
30,3185.038429958423,244
31,3291.2063776237037,243
32,3397.3743252889844,244
33,3503.542272954265,244
34,3609.710220619546,243
35,3715.8781682848266,243
36,3822.0461159501074,243
37,3928.214063615388,243
38,4034.382011280669,243
39,4140.54995894595,243
40,4246.71790661123,243
41,4352.885854276511,244
42,4459.053801941792,243
43,4565.2217496070725,242
44,4671.389697272353,242
45,4777.557644937634,242
46,4883.725592602915,242
47,4989.8935402681955,243
48,5096.061487933477,242
49,5202.229435598758,242
50,5308.397383264039,242
51,5414.565330929319,242
52,5520.7332785946,242
53,5626.901226259881,242
54,5733.0691739251615,242
55,5839.237121590442,243
56,5945.405069255723,242
57,6051.573016921004,242
58,6157.7409645862845,242
59,6263.908912251565,242
60,6370.076859916846,242
61,6476.244807582127,242
62,6582.412755247407,242
63,6688.580702912688,241
64,6794.748650577969,241
65,6900.91659824325,241
66,7007.08454590853,244
67,7113.252493573811,245
68,7219.420441239092,247
69,7325.588388904373,247
70,7431.756336569653,246
71,7537.924284234934,246
72,7644.092231900215,246
73,7750.2601795654955,246
74,7856.428127230776,246
75,7962.596074896057,246
76,8068.764022561338,246
77,8174.931970226618,245
78,8281.0999178919,246
79,8387.26786555718,245
80,8493.43581322246,245
81,8599.603760887741,245
82,8705.771708553022,248
83,8811.939656218303,247
84,8918.107603883584,248
85,9024.275551548864,247
86,9130.443499214145,246
87,9236.611446879426,246
88,9342.779394544707,245
89,9448.947342209987,246
90,9555.115289875268,246
91,9661.283237540549,246
92,9767.45118520583,245
93,9873.61913287111,245
94,9979.787080536391,245
95,10085.955028201672,245
96,10192.122975866954,245
97,10298.290923532235,245
98,10404.458871197516,245
99,10510.626818862796,245
100,10616.794766528077,244
101,10722.962714193358,243
102,10829.130661858639,243
103,10935.29860952392,243
104,11041.4665571892,243
105,11147.63450485448,243
106,11253.802452519762,244
107,11359.970400185042,245
108,11466.138347850323,247
109,11572.306295515604,247
110,11678.474243180885,247
111,11784.642190846165,247
112,11890.810138511446,248
113,11996.978086176727,248
114,12103.146033842007,247
115,12209.313981507288,247
116,12315.481929172569,247
117,12421.64987683785,247
118,12527.81782450313,247
119,12633.985772168411,247
120,12740.153719833692,248
121,12846.321667498973,248
122,12952.489615164253,248
123,13058.657562829534,248
124,13164.825510494815,247
125,13270.993458160096,247
126,13377.161405825376,247
127,13483.329353490657,248
128,13589.497301155938,249
129,13695.665248821218,249
130,13801.8331964865,249
131,13908.00114415178,250
132,14014.16909181706,251
133,14120.337039482341,251
134,14226.504987147622,251
135,14332.672934812903,250
136,14438.840882478184,248
137,14545.008830143464,247
138,14651.176777808745,247
139,14757.344725474026,247
140,14863.512673139307,247
141,14969.680620804587,248
142,15075.848568469868,248
143,15182.016516135149,248
144,15288.18446380043,248
145,15394.35241146571,248
146,15500.520359130991,248
147,15606.688306796272,248
148,15712.856254461552,247
149,15819.024202126833,249
150,15925.192149792114,247
151,16031.360097457395,248
152,16137.528045122675,248
153,16243.695992787956,248
154,16349.863940453237,248
155,16456.03188811852,249
156,16562.1998357838,249
157,16668.36778344908,249
158,16774.53573111436,250
159,16880.703678779642,249
160,16986.87162644492,248
161,17093.039574110204,248
162,17199.207521775483,250
163,17305.375469440765,249
164,17411.543417106044,248
165,17517.711364771327,248
166,17623.879312436606,249
167,17730.04726010189,247
168,17836.215207767167,248
169,17942.38315543245,248
170,18048.55110309773,249
171,18154.71905076301,248
172,18260.88699842829,248
173,18367.054946093573,248
174,18473.22289375885,248
175,18579.390841424134,250
176,18685.558789089413,248
177,18791.726736754696,248
178,18897.894684419975,249
179,19004.062632085257,248
180,19110.230579750536,248
181,19216.39852741582,248
182,19322.566475081097,248
183,19428.73442274638,248
184,19534.90237041166,248
185,19641.07031807694,249
186,19747.23826574222,248
187,19853.406213407503,248
188,19959.574161072782,248
189,20065.742108738064,248
190,20171.910056403343,250
191,20278.078004068626,250
192,20384.24595173391,249
193,20490.413899399187,248
194,20596.58184706447,249
195,20702.74979472975,247
196,20808.91774239503,247
197,20915.08569006031,247
198,21021.253637725593,248
199,21127.42158539087,248
200,21233.589533056154,248
201,21339.757480721433,248
202,21445.925428386716,247
203,21552.093376051995,247
204,21658.261323717277,247
205,21764.429271382556,247
206,21870.59721904784,247
207,21976.765166713118,247
208,22082.9331143784,247
209,22189.10106204368,248
210,22295.26900970896,246
211,22401.43695737424,246
212,22507.604905039523,247
213,22613.772852704802,247
214,22719.940800370085,246
215,22826.108748035364,246
216,22932.276695700646,246
217,23038.444643365925,247
218,23144.612591031208,248
219,23250.780538696486,246
220,23356.94848636177,247
221,23463.116434027048,247
222,23569.28438169233,245
223,23675.45232935761,245
224,23781.620277022892,245
225,23887.78822468817,245
226,23993.956172353453,245
227,24100.124120018732,247
228,24206.292067684015,245
229,24312.460015349294,245
230,24418.627963014576,246
231,24524.795910679855,245
232,24630.963858345138,245
233,24737.131806010417,246
234,24843.2997536757,247
235,24949.46770134098,247
236,25055.63564900626,246
237,25161.80359667154,247
238,25267.971544336822,246
239,25374.1394920021,244
240,25480.307439667384,245
241,25586.475387332663,245
242,25692.643334997945,245
243,25798.811282663224,245
244,25904.979230328507,245
245,26011.147177993786,246
246,26117.315125659068,246
247,26223.483073324347,246
248,26329.65102098963,245
249,26435.81896865491,247
250,26541.98691632019,246
251,26648.15486398547,246
252,26754.322811650753,247
253,26860.49075931603,246
254,26966.658706981314,246
255,27072.826654646593,245
256,27178.994602311875,246
257,27285.162549977158,246
258,27391.330497642437,246
259,27497.49844530772,246
260,27603.666392973,245
261,27709.83434063828,246
262,27816.00228830356,246
263,27922.170235968842,247
264,28028.33818363412,246
265,28134.506131299404,246
266,28240.674078964683,247
267,28346.842026629965,247
268,28453.009974295244,246
269,28559.177921960527,246
270,28665.345869625806,246
271,28771.51381729109,247
272,28877.681764956367,246
273,28983.84971262165,247
274,29090.01766028693,247
275,29196.18560795221,247
276,29302.35355561749,245
277,29408.521503282773,245
278,29514.68945094805,246
279,29620.857398613334,246
280,29727.025346278613,247
281,29833.193293943896,247
282,29939.361241609175,245
283,30045.529189274457,245
284,30151.697136939736,245
285,30257.86508460502,246
286,30364.033032270298,247
287,30470.20097993558,246
288,30576.36892760086,246
289,30682.53687526614,246
290,30788.70482293142,245
291,30894.872770596703,246
292,31001.040718261982,247
293,31107.208665927265,244
294,31213.376613592543,244
295,31319.544561257826,242
296,31425.712508923105,241
297,31531.880456588387,240
298,31638.048404253666,240
299,31744.21635191895,240
300,31850.384299584228,243
301,31956.55224724951,243
302,32062.72019491479,244
303,32168.888142580072,244
304,32275.05609024535,243
305,32381.224037910633,243
306,32487.391985575912,245
307,32593.559933241195,245
308,32699.727880906474,247
309,32805.89582857175,246
310,32912.06377623704,247
311,33018.23172390232,246
312,33124.3996715676,245
313,33230.567619232876,245
314,33336.73556689816,245
315,33442.90351456344,246
316,33549.07146222872,245
317,33655.239409894,247
318,33761.407357559285,249
319,33867.57530522456,249
320,33973.74325288984,249
321,34079.91120055513,246
322,34186.07914822041,247
323,34292.24709588569,247
324,34398.415043550965,246
325,34504.58299121625,245
326,34610.75093888153,245
327,34716.91888654681,245
328,34823.08683421209,245
329,34929.254781877375,245
330,35035.42272954265,246
331,35141.59067720793,245
332,35247.75862487321,245
333,35353.9265725385,246
334,35460.09452020378,245
335,35566.262467869055,246
336,35672.430415534334,246
337,35778.59836319962,246
338,35884.7663108649,245
339,35990.93425853018,245
340,36097.10220619546,245
341,36203.27015386074,245
342,36309.43810152602,246
343,36415.6060491913,245
344,36521.77399685658,246
345,36627.94194452187,246
346,36734.109892187145,246
347,36840.277839852424,246
348,36946.4457875177,246
349,37052.61373518299,246
350,37158.78168284827,246
351,37264.94963051355,247
352,37371.117578178826,247
353,37477.28552584411,245
354,37583.45347350939,245
355,37689.62142117467,245
356,37795.78936883995,244
357,37901.957316505235,244
358,38008.125264170514,245
359,38114.29321183579,245
360,38220.46115950107,246
361,38326.62910716636,244
362,38432.79705483164,243
363,38538.965002496916,245
364,38645.132950162195,244
365,38751.30089782748,244
366,38857.46884549276,243
367,38963.63679315804,243
368,39069.80474082332,244
369,39175.972688488604,243
370,39282.14063615388,243
371,39388.30858381916,243
372,39494.47653148444,243
373,39600.64447914973,243
374,39706.812426815006,243
375,39812.980374480285,244
376,39919.148322145564,243
377,40025.31626981085,243
378,40131.48421747613,243
379,40237.65216514141,243
380,40343.82011280669,243
381,40449.98806047197,244
382,40556.15600813725,245
383,40662.32395580253,244
384,40768.49190346782,243
385,40874.659851133096,242
386,40980.827798798375,242
387,41086.99574646365,243
388,41193.16369412894,244
389,41299.33164179422,243
390,41405.4995894595,242
391,41511.66753712478,240
392,41617.83548479006,239
393,41724.00343245534,239
394,41830.17138012062,240
395,41936.3393277859,238
396,42042.507275451186,236
397,42148.675223116465,236
398,42254.84317078174,235
399,42361.01111844702,233
400,42467.17906611231,234
401,42573.34701377759,235
402,42679.51496144287,234
403,42785.682909108145,233
404,42891.85085677343,233
