order;parameter;unit;pre monsoon;post monsoon;average;based on N samples per location;river;sample;year(s) data;source short;source;remarks
195;NO3;mg/l;;;2.07;36;rainfall;Roorkee;2001-2002;Al Obaidy & Joshi, 2006;Al Obaidy, A. H. M. J., & Joshi, H. (2006). Chemical composition of rainwater in a tropical urban area of northern India. Atmospheric Environment, 40(35), 6886-6891.;
196;SO4;mg/l;;;1.09;36;rainfall;Roorkee;2001-2002;Al Obaidy & Joshi, 2006;Al Obaidy, A. H. M. J., & Joshi, H. (2006). Chemical composition of rainwater in a tropical urban area of northern India. Atmospheric Environment, 40(35), 6886-6891.;
197;EC;?s/cm;;;29.00;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
198;TDS;mg/l;;;146.00;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
199;pH;;;;6.54;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
200;Alkalinity;mg/l;;;53.00;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
201;Hardness;mg/l;;;100.50;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
202;Ca;mg/l;;;40.00;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
203;Mg;mg/l;;;60.50;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
204;Cl;mg/l;;;4.98;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
205;silica;mg/l;;;5.39;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
206;Fe;?g/l;;;108.50;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;changed to microg/l => x1000
207;SO4;mg/l;;;126.50;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
208;DO;mg/l;;;4.90;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
209;BOD;mg/l;;;3.00;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
210;COD;mg/l;;;22.50;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;
211;Pb;?g/l;;;45.50;2;rainfall;Panipat;2008;Bharti et al., 2017;Bharti, P. K., Singh, V., & Tyagi, P. K. (2017). Assessment of rainwater quality in industrial area of rural Panipat (Haryana), India. Archives of Agriculture and Environmental Science, 2(3), 219-223.;changed to microg/l => x1000
